火炎砲弾,開幕効果,敵師団に火属性の開幕ダメージ。種族「炎」は効果がない。障壁、結界、吸収、反射で効果が軽減される
水流砲弾,開幕効果,敵師団に水属性の開幕ダメージ。種族「海」は効果がない。障壁、結界、吸収、反射で効果が軽減される
氷撃砲弾,開幕効果,敵師団に氷属性の開幕ダメージ。種族「氷」は効果がない。障壁、結界、吸収、反射で効果が軽減される
雷撃砲弾,開幕効果,敵師団に雷属性の開幕ダメージ。種族「雷」は効果がない。障壁、結界、吸収、反射で効果が軽減される
毒気砲弾,開幕効果,敵師団に毒属性の開幕ダメージ。種族「毒・死・器」は効果がない。障壁、結界、吸収、反射で効果が軽減されない。解毒治療でダメージ半減
神術砲弾,開幕効果,敵師団に光属性の開幕ダメージ。障壁、結界、吸収、反射で効果が軽減される
魔術砲弾,開幕効果,敵師団に闇属性の開幕ダメージ。障壁、結界、吸収、反射で効果が軽減される
強酸砲弾,開幕効果,敵師団に酸属性の開幕ダメージ。種族「海・蟲」は効果がない。障壁、結界、吸収、反射で効果が軽減されない。削減治療でダメージ半減
超火炎砲,開幕効果,敵軍団に火属性の開幕ダメージ。種族「炎」は効果がない。障壁、結界、吸収、反射で効果が軽減される
超水流砲,開幕効果,敵軍団に水属性の開幕ダメージ。種族「海」は効果がない。障壁、結界、吸収、反射で効果が軽減される
超氷撃砲,開幕効果,敵軍団に氷属性の開幕ダメージ。種族「氷」は効果がない。障壁、結界、吸収、反射で効果が軽減される
超雷撃砲,開幕効果,敵軍団に雷属性の開幕ダメージ。種族「雷」は効果がない。障壁、結界、吸収、反射で効果が軽減される
超毒気砲,開幕効果,敵軍団に毒属性の開幕ダメージ。種族「毒・死・器」は効果がない。障壁、結界、吸収、反射で効果が軽減されない。解毒治療でダメージ半減
超神術砲,開幕効果,敵軍団に光属性の開幕ダメージ。障壁、結界、吸収、反射で効果が軽減される
超魔術砲,開幕効果,敵軍団に闇属性の開幕ダメージ。障壁、結界、吸収、反射で効果が軽減される
超強酸砲,開幕効果,敵軍団に酸属性の開幕ダメージ。種族「海・蟲」は効果がない。障壁、結界、吸収、反射で効果が軽減されない。削減治療でダメージ半減
火炎放射,継続効果,敵目標に火属性の継続ダメージ。種族「炎」は効果がない。障壁、結界、吸収、反射で効果が軽減される
水流放射,継続効果,敵目標に水属性の継続ダメージ。種族「海」は効果がない。障壁、結界、吸収、反射で効果が軽減される
氷撃放射,継続効果,敵目標に氷属性の継続ダメージ。種族「氷」は効果がない。障壁、結界、吸収、反射で効果が軽減される
雷撃放射,継続効果,敵目標に雷属性の継続ダメージ。種族「雷」は効果がない。障壁、結界、吸収、反射で効果が軽減される
毒気放射,継続効果,敵目標に毒属性の継続ダメージ。種族「毒・死・器」は効果がない。 障壁、結界、吸収、反射無効。解毒治療でダメージ半減
神術放射,継続効果,敵目標に神属性の継続ダメージ。障壁、結界、吸収、反射で効果が軽減される
魔術放射,継続効果,敵目標に魔属性の継続ダメージ。障壁、結界、吸収、反射で効果が軽減される
強酸放射,継続効果,敵目標に酸属性の継続ダメージ。種族「海・蟲」は効果がない。 障壁、結界、吸収、反射無効。削減治療でダメージ半減
大火炎陣,継続効果,敵師団に火属性の継続ダメージ。種族「炎」は効果がない。障壁、結界、吸収、反射で効果が軽減される
大水流陣,継続効果,敵師団に水属性の継続ダメージ。種族「海」は効果がない。障壁、結界、吸収、反射で効果が軽減される
大氷撃陣,継続効果,敵師団に氷属性の継続ダメージ。種族「氷」は効果がない。障壁、結界、吸収、反射で効果が軽減される
大雷撃陣,継続効果,敵師団に雷属性の継続ダメージ。種族「雷」は効果がない。障壁、結界、吸収、反射で効果が軽減される
大毒気陣,継続効果,敵師団に毒属性の継続ダメージ。種族「毒・死・器」は効果がない。 障壁、結界、吸収、反射無効。解毒治療でダメージ半減
大神術陣,継続効果,敵師団に光属性の継続ダメージ。障壁、結界、吸収、反射で効果が軽減される
大魔術陣,継続効果,敵師団に闇属性の継続ダメージ。障壁、結界、吸収、反射で効果が軽減される
大強酸陣,継続効果,敵師団に酸属性の継続ダメージ。種族「海・蟲」は効果がない。 障壁、結界、吸収、反射無効。削減治療でダメージ半減
超火炎陣,継続効果,敵軍団に火属性の継続ダメージ。種族「炎」は効果がない。障壁、結界、吸収、反射で効果が軽減される
超水流陣,継続効果,敵軍団に水属性の継続ダメージ。種族「海」は効果がない。障壁、結界、吸収、反射で効果が軽減される
超氷撃陣,継続効果,敵軍団に氷属性の継続ダメージ。種族「氷」は効果がない。障壁、結界、吸収、反射で効果が軽減される
超雷撃陣,継続効果,敵軍団に雷属性の継続ダメージ。種族「雷」は効果がない。障壁、結界、吸収、反射で効果が軽減される
超毒気陣,継続効果,敵軍団に毒属性の継続ダメージ。種族「毒・死・器」は効果がない。 障壁、結界、吸収、反射無効。解毒治療でダメージ半減
超神術陣,継続効果,敵軍団に光属性の継続ダメージ。障壁、結界、吸収、反射で効果が軽減される
超魔術陣,継続効果,敵軍団に闇属性の継続ダメージ。障壁、結界、吸収、反射で効果が軽減される
超強酸陣,継続効果,敵軍団に酸属性の継続ダメージ。種族「海・蟲」は効果がない。 障壁、結界、吸収、反射無効。削減治療でダメージ半減
竜の吐息,開幕継続効果,戦闘開幕・継続時に敵師団へダメージ。開幕は砲弾系、継続は継続系に準拠。種族「竜」や「血の起源」「竜鱗守護」「竜王守護」でダメージは半減。「竜の吐息」所持の場合別途半減。結界等では軽減できない。
術式増幅,増幅効果,師団の開幕効果と継続効果をスキル性能値％増幅させる。同ユニット所持加算、他ユニット所持積算。
運命改変,増幅効果,自身が所持する戦闘中の確率が発生する効果の確率部分をスキル性能値分加算する。運命改変との加算可能。対象スキル： 凍結攻撃・停止攻撃・強制異常・確率追撃・必殺増加・無効喰い・暴走攻撃・パリング・ブロック・イベイド・矮小体躯・必殺耐性・無形体躯・次元障壁・至高の盾（※撃破金運などの戦闘終了時の効果については対象外）
運命の輪,増幅効果,師団員が所持する戦闘中の確率が発生する効果の確率部分をスキル性能値分加算する。師団内のメンバーが持つ同スキルは累積加算する。対象スキル： 凍結攻撃・停止攻撃・強制異常・確率追撃・必殺増加・無効喰い・暴走攻撃・パリング・ブロック・イベイド・矮小体躯・必殺耐性・無形体躯・次元障壁・至高の盾（※撃破金運などの戦闘終了時の効果については対象外）
腐敗の繭,増幅効果,所属師団メンバーに、発生する毒・酸の与ダメージ増加、毒・酸の被ダメージ減少効果を付与。（上限 100％）
